Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
376,Jalen Johnson\johnsja05,PF,20,ATL,17,0,4.1,0.6,1.3,.500,0.2,0.5,.375,0.5,0.8,.571,.568,0.2,0.4,.667,0.0,1.0,1.0,0.1,0.1,0.1,0.2,0.2,1.7
377,James Johnson\johnsja01,PF,34,BRK,56,10,19.5,2.5,5.3,.476,0.4,1.5,.280,2.1,3.8,.552,.515,0.5,0.9,.528,0.9,2.6,3.5,2.1,0.5,0.5,0.8,2.6,5.9
378,Joe Johnson\johnsjo02,SG,40,BOS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
379,Keldon Johnson\johnske04,SF,22,SAS,66,65,31.6,6.1,13.1,.463,2.0,5.0,.402,4.0,8.0,.502,.541,2.1,2.8,.745,1.1,5.0,6.1,2.0,0.7,0.1,1.2,1.9,16.3
380,Keon Johnson\johnske07,SG,19,TOT,26,2,14.3,1.7,5.2,.321,0.5,1.7,.326,1.1,3.5,.319,.373,1.2,1.5,.789,0.5,1.4,2.0,1.3,0.6,0.2,0.7,1.5,5.0
381,Keon Johnson\johnske07,SG,19,LAC,15,0,9.0,1.1,3.4,.333,0.2,0.7,.273,0.9,2.7,.350,.363,1.1,1.4,.762,0.4,1.0,1.4,0.9,0.5,0.1,0.5,1.4,3.5
382,Keon Johnson\johnske07,SG,19,POR,11,2,21.5,2.4,7.5,.313,1.0,2.9,.344,1.4,4.6,.294,.380,1.3,1.5,.824,0.7,2.0,2.7,2.0,0.7,0.3,1.1,1.6,7.0
383,Stanley Johnson\johnsst04,PF,25,LAL,38,21,21.5,2.4,5.0,.471,0.7,2.1,.321,1.7,3.0,.575,.537,0.8,1.1,.721,0.7,2.4,3.1,1.6,0.9,0.3,0.6,2.3,6.2
384,Tyler Johnson\johnsty01,PG,29,TOT,6,0,15.2,1.0,3.3,.300,0.8,2.2,.385,0.2,1.2,.143,.425,0.0,0.0,,0.5,1.5,2.0,1.2,0.5,0.5,0.3,1.2,2.8
385,Tyler Johnson\johnsty01,PG,29,PHI,3,0,12.7,1.3,3.3,.400,1.0,2.3,.429,0.3,1.0,.333,.550,0.0,0.0,,0.3,1.7,2.0,0.7,0.3,0.3,0.3,1.3,3.7
386,Tyler Johnson\johnsty01,PG,29,SAS,3,0,17.7,0.7,3.3,.200,0.7,2.0,.333,0.0,1.3,.000,.300,0.0,0.0,,0.7,1.3,2.0,1.7,0.7,0.7,0.3,1.0,2.0
387,Nikola Jokić\jokicni01,C,26,DEN,66,66,33.1,9.9,17.4,.571,1.4,4.1,.346,8.5,13.3,.640,.611,4.9,6.0,.813,2.8,10.8,13.6,8.0,1.4,0.9,3.7,2.6,26.2
388,Carlik Jones\jonesca03,PG,24,TOT,5,0,4.6,0.2,1.8,.111,0.0,0.2,.000,0.2,1.6,.125,.111,0.4,0.4,1.000,0.2,0.4,0.6,1.0,0.2,0.0,0.6,0.0,0.8
389,Carlik Jones\jonesca03,PG,24,DAL,3,0,6.3,0.0,2.3,.000,0.0,0.3,.000,0.0,2.0,.000,.000,0.7,0.7,1.000,0.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.7
390,Carlik Jones\jonesca03,PG,24,DEN,2,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
391,Damian Jones\jonesda03,C,26,SAC,47,6,15.9,2.5,4.0,.629,0.1,0.4,.300,2.4,3.5,.669,.645,1.3,1.8,.709,1.3,2.6,3.9,1.1,0.4,0.7,0.9,2.2,6.4
392,Derrick Jones Jr.\jonesde02,PF,24,CHI,45,8,17.8,2.1,3.8,.544,0.4,1.1,.320,1.7,2.7,.636,.591,1.1,1.4,.787,1.2,2.2,3.4,0.6,0.5,0.7,0.6,2.2,5.6
393,Herbert Jones\joneshe01,PF,23,NOP,69,60,30.0,3.6,7.3,.490,0.7,2.0,.353,2.9,5.3,.542,.539,1.8,2.1,.853,1.3,2.6,3.9,2.2,1.6,0.8,1.3,3.1,9.7
394,Jemerrio Jones\jonesje01,SF,26,LAL,2,0,7.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,1.0,0.5,1.5,0.0,0.5,0.0,0.0,1.0,2.0
395,Kai Jones\joneska01,C,21,CHO,19,0,3.1,0.4,0.7,.615,0.1,0.1,.500,0.4,0.6,.636,.654,0.2,0.4,.375,0.2,0.4,0.5,0.2,0.1,0.0,0.3,0.4,1.1
396,Mason Jones\jonesma05,SG,23,LAL,2,0,4.5,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,2.5
397,Tre Jones\jonestr01,PG,22,SAS,59,6,15.2,2.1,4.4,.483,0.1,0.6,.143,2.1,3.8,.535,.492,0.9,1.1,.791,0.5,1.6,2.1,2.9,0.5,0.1,0.7,1.1,5.3
398,Tyus Jones\jonesty01,PG,25,MEM,65,16,20.4,3.2,7.2,.450,1.0,2.7,.368,2.3,4.5,.498,.518,0.7,0.8,.833,0.2,2.2,2.4,4.2,0.9,0.0,0.6,0.5,8.2
399,DeAndre Jordan\jordade01,C,33,TOT,40,19,13.0,1.8,2.8,.619,0.0,0.0,,1.8,2.8,.619,.619,0.5,0.9,.583,1.8,3.7,5.4,0.4,0.3,0.8,0.8,1.5,4.0
400,DeAndre Jordan\jordade01,C,33,LAL,32,19,12.8,1.9,2.8,.674,0.0,0.0,,1.9,2.8,.674,.674,0.4,0.8,.462,1.6,3.8,5.4,0.4,0.3,0.8,0.7,1.6,4.1
401,DeAndre Jordan\jordade01,C,33,PHI,8,0,14.1,1.3,3.0,.417,0.0,0.0,,1.3,3.0,.417,.417,1.1,1.3,.900,2.4,3.1,5.5,0.5,0.3,0.5,1.3,1.1,3.6
402,Cory Joseph\josepco01,PG,30,DET,60,34,25.0,2.8,6.2,.448,1.0,2.4,.417,1.8,3.8,.467,.528,1.5,1.7,.871,0.5,2.2,2.6,3.8,0.6,0.3,1.4,2.3,8.0
403,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,0,5.3,0.6,1.2,.455,0.2,0.4,.500,0.3,0.8,.429,.545,0.4,1.0,.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
404,Frank Kaminsky\kaminfr01,C,28,PHO,9,0,20.1,4.0,7.3,.545,0.6,1.7,.333,3.4,5.7,.608,.583,2.0,2.2,.900,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
405,Luke Kennard\kennalu01,SG,25,LAC,63,11,27.5,4.0,9.0,.445,2.7,6.0,.450,1.3,3.0,.435,.594,0.9,1.0,.889,0.3,3.1,3.3,2.1,0.6,0.1,0.9,1.5,11.6
406,Braxton Key\keybr01,SF,24,PHI,2,0,3.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0
